sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,38_11.txt,11,38,0.049695,0.013902,dz,81.930992,6.354814,66.907644,0.002055,0.40383,32.78137,untreated,control,unloaded,AC
599112,38_12.txt,12,38,0.04921,0.013695,dz,81.834251,6.077782,66.92113,0.002079,0.389882,32.916005,untreated,control,unloaded,AC
599112,38_2.txt,2,38,0.04963,0.012119,dz,82.836705,6.35519,66.920803,0.002025,0.422106,33.486113,untreated,control,unloaded,AC
599112,38_3.txt,3,38,0.045899,0.012423,dz,81.864272,5.786331,66.889316,0.002139,0.523159,34.027846,untreated,control,unloaded,AC
599112,38_4.txt,4,38,0.045696,0.012776,dz,82.468268,5.840535,66.87748,0.002,0.624212,34.822366,untreated,control,unloaded,AC
599112,38_5.txt,5,38,0.047472,0.013125,dz,83.197116,5.906704,66.841024,0.00199,0.523158,34.240371,untreated,control,unloaded,AC
599112,38_6.txt,6,38,0.051144,0.013603,dz,81.99097,5.9967,66.89721,0.002192,0.523156,34.022988,untreated,control,unloaded,AC
599112,38_7.txt,7,38,0.050398,0.014212,dz,81.384676,5.629451,66.91047,0.002063,0.725265,33.982759,untreated,control,unloaded,AC
599112,38_8.txt,8,38,0.047112,0.012348,dz,82.91618,5.809954,66.883901,0.002196,0.415186,34.36307,untreated,control,unloaded,AC
599112,38_9.txt,9,38,0.048063,0.013692,dz,82.149415,6.069001,66.901155,0.001967,0.523159,33.78956,untreated,control,unloaded,AC
599112,39_0.txt,0,39,0.044633,0.012261,dz,81.594696,6.051377,66.915137,0.00213,0.325297,33.528663,untreated,control,unloaded,AC
599112,39_1.txt,1,39,0.045393,0.013543,dz,81.796952,6.215971,66.895375,0.002155,0.377788,33.770612,untreated,control,unloaded,AC
599112,39_10.txt,10,39,0.048624,0.013207,dz,82.981021,6.051483,66.870976,0.00237,0.334862,34.571637,untreated,control,unloaded,AC
599112,39_11.txt,11,39,0.049702,0.014914,dz,82.792317,6.573498,66.892314,0.002238,0.331015,34.544593,untreated,control,unloaded,AC
599112,39_12.txt,12,39,0.049724,0.014596,dz,82.567509,6.486457,66.919705,0.001987,0.331912,33.499037,untreated,control,unloaded,AC
